Porosity,Permeability,Class,in train
0.15303677,11.31733812,3,1
0.153579668,22.0631722,2,1
0.153579668,29.78322118,2,1
0.153823008,39.50116188,2,1
0.154066733,61.95339746,2,0
0.15408128,2.161468984,3,1
0.154256024,4.47031814,3,1
0.155537221,1.275806656,2,1
0.155537221,1.590730401,2,1
0.156546263,170.2280689,1,0
0.156723844,0.316587752,3,0
0.156955657,235.7627114,1,1
0.15707957,52.22211507,1,1
0.157257757,3.745405941,3,1
0.158151685,0.61079745,3,0
0.158223235,232.2654531,1,1
0.159954822,1.929087958,3,1
0.160194786,466.0516576,1,1
0.160358693,779.2896501,1,0
0.160795428,5.09894599,2,1
0.160795428,6.703271229,2,1
0.160838255,2.40661131,3,0
0.160864089,75.81690469,1,1
0.161171151,2.82793832,3,0
0.161560974,25.86139478,2,1
0.162073363,92.15644689,2,0
0.162587377,37.79615756,2,1
0.163620304,2.185572315,2,1
0.164366704,50.59797989,1,1
0.16455316,0.203421194,3,1
0.16455316,345.4522907,1,1
0.165301061,3.769148731,3,1
0.165443748,34.6037537,2,1
0.165676307,98.86101029,1,1
0.166231434,1.815863666,2,1
0.166231434,14.96372796,2,1
0.166429315,4.731911464,3,1
0.166503928,73.44162857,1,1
0.167563683,682.3335869,1,1
0.168517821,105.3095126,1,1
0.168617076,9.291529602,2,0
0.168617076,53.79550961,2,1
0.17024607,2.468185998,3,1
0.170439199,1.743587762,3,0
0.170439199,1.991009394,3,1
0.170439199,135.5931772,1,0
0.171992051,304.4408738,1,1
0.172382493,114.3253871,1,1
0.172396337,58.24223343,2,0
0.172943105,41.28307982,2,0
0.173217139,4.586602311,2,0
0.173217139,26.0906193,2,1
0.173766512,5.235736039,2,1
0.174317628,50.12870381,2,1
0.174593886,8.139553032,2,1
0.175425156,166.4562404,2,1
0.175428936,4.281886603,3,1
0.175703125,9.79676068,2,1
0.176335833,1.223954743,3,1
0.179767426,215.0642711,1,1
0.17992593,37.13494312,2,1
0.17992593,61.40909311,2,1
0.179971361,1.585915246,3,1
0.180175481,0.981107069,3,1
0.180394457,1.94455918,3,1
0.180496589,365.0806595,2,1
0.180496589,73.91194411,2,1
0.181069059,62.50252629,2,1
0.182229834,3.651926228,3,1
0.182229834,316.2044649,1,0
0.182797392,47.54357248,2,0
0.183958773,123.3096288,2,1
0.18483465,14.44474996,2,1
0.185420885,43.91361563,2,1
0.185565663,0.297201879,3,0
0.1857147,14.31784263,2,1
0.18600898,11.2824028,2,1
0.186598942,138.298911,2,1
0.187190775,76.56748835,2,1
0.187190775,64.74814742,2,1
0.187681503,5.040564412,3,1
0.189576946,97.16735596,2,0
0.192602548,58.75846807,2,0
0.192907748,41.64899566,2,1
0.196297046,100.6584319,2,0
0.196608103,328.3967717,2,1
0.196834837,2.645847585,3,1
0.197857268,24.09863219,2,1
0.199079226,0.886764272,3,1
0.200665536,2.645847585,3,1
0.201972153,18.49349855,2,1
0.205500688,1.668147287,3,0
0.206200852,0.622486209,3,1
0.206434787,0.822010735,3,0
0.207138135,2.02911401,3,1
0.207373134,11.68061126,3,1
0.207482615,149.7306656,2,0
0.209131835,793.6783003,2,1
0.210930137,2.230849576,3,0
0.21116944,0.968786918,3,1
0.212133454,166.4562404,2,1
0.213481305,92.15644689,2,1
0.214062187,2.302457204,3,0
0.216888536,8.284483642,2,0
0.217487287,1.354171214,3,1
0.220466618,3.817086795,3,1
0.220967156,2.161468984,3,1
0.221399399,70.10021364,2,1
0.224658668,42.01442966,3,0
0.225646535,48.39012007,2,1
0.226035265,3.259309772,3,0
0.227062746,18.64408185,3,1
0.227800572,63.05652237,2,1
0.228161573,25.40896976,2,0
0.228523146,104.274937,2,1
0.228723779,5.212532671,3,1
0.229975239,92.97328284,2,1
0.230957632,6.826590038,3,1
0.232270724,47.2005284,3,1
0.23385631,3.675076434,3,0
0.236523032,4.555866095,3,1
0.237326322,6.002375721,3,0
0.238407843,2.016332124,3,1
0.244152851,12.84190369,3,1
0.244698838,2.828310388,3,1
0.245819522,1.575925178,3,0
0.246657184,4.27689307,3,1
0.246657184,58.51287473,3,1
0.246937039,9.848507364,3,1
0.248622788,2.596165078,3,0
0.248622788,5.008812663,3,1
0.24890481,6.783587677,3,1
0.250036359,26.89723221,3,1
0.251300189,80.73076433,2,1
0.254037268,8.303780841,3,1
0.255771509,3.606067541,3,0
0.255771509,16.63964371,3,0
0.257225743,9.304054281,3,1
0.259864228,1.208585058,3,0
0.260159074,20.36856619,3,1
0.262529789,4.731911464,3,0
0.266428469,4.27689307,3,1
0.267033338,5.612182262,3,1
0.268786321,2.222542075,3,1
0.268856339,25.57135808,3,1
0.269161393,10.96536297,3,1
0.269161393,7.795308729,3,1
0.269161393,6.614279506,3,1
0.270493057,2.635662972,3,1
0.270691791,3.040455841,3,1
0.271614178,9.848507364,3,1
0.272006599,104.274937,2,1
0.276273634,32.5113698,3,1
0.276587106,1.071854566,3,1
0.276900935,62.72466841,3,1
0.27879133,50.27932273,3,1
0.279741328,5.978253481,3,1
0.279741328,22.25255671,3,1
0.281651123,16.02058474,3,1
0.2819707,41.07456599,3,1
0.288469026,41.97485518,2,1
0.288765958,25.73342264,3,1
0.28974996,5.683561019,3,1
0.28974996,6.826590038,3,0
0.291067208,12.36413531,3,0
0.292722214,8.679311927,3,1
0.294386635,18.40993439,3,1
0.294386635,72.53640214,3,1
0.294623799,13.91283955,3,0
0.294720669,4.527174053,3,1
0.296732774,11.60703223,3,0
0.296732774,10.75946043,3,0
0.29808178,21.69716628,3,0
0.300272151,15.01779146,3,1
0.301823327,12.20887395,3,1
0.304573887,2.202832763,3,1
0.304919485,34.41386467,3,1
0.30506178,15.01779146,3,1
0.307001249,29.01609143,3,1
0.308047418,9.724835749,3,1
0.308396959,5.403387421,3,1
0.31156058,48.10379939,3,1
0.315113826,12.20887395,3,0
0.315113826,138.188008,3,1
0.318211116,10.24838014,3,1
0.322342404,35.51850894,3,1
0.323287016,10.36958618,3,0
0.324175323,124.1131386,3,1
0.329832938,19.1109883,3,0
0.335013819,27.06773851,3,1
0.336918822,16.95807462,3,1
0.337301138,31.30182137,3,1
0.348974143,53.55894055,3,1
0.353246078,32.05943748,3,1
0.35699283,61.5671876,3,0
0.35941718,45.7325672,3,1
0.363516469,54.92990866,3,1
0.382549865,167.0313657,3,1
0.389113366,22.11238241,3,1
0.38999691,17.95045005,3,1
